iter	Logloss
0	0.6815384639
1	0.6714125861
2	0.6616213903
3	0.6515929126
4	0.6419597814
5	0.6336414829
6	0.6255667999
7	0.6172673623
8	0.6101560695
9	0.6037638931
10	0.5963550442
11	0.5895355072
12	0.5837381931
13	0.5782747288
14	0.5729760524
15	0.5680332565
16	0.5626314789
17	0.5578437323
18	0.5532742241
19	0.54896488
20	0.5452212092
21	0.541105825
22	0.5376116887
23	0.533816634
24	0.5301374468
25	0.5263888654
26	0.5235468062
27	0.5205165357
28	0.517936649
29	0.5158364876
30	0.5134561641
31	0.5107558324
32	0.5082801078
33	0.5058102532
34	0.5040183212
35	0.5023055086
36	0.4999711343
37	0.4977137093
38	0.4961101296
39	0.4945187353
40	0.4929246936
41	0.4908861748
42	0.4886737638
43	0.4868538849
44	0.4850062452
45	0.4835256014
46	0.4818728506
47	0.4806926355
48	0.4794419165
49	0.4783763444
50	0.477228124
51	0.4760427002
52	0.4748498858
53	0.4734739175
54	0.4724732041
55	0.4711582928
56	0.4702376482
57	0.4690284785
58	0.4672396101
59	0.4661434341
60	0.4651443329
61	0.4634965203
62	0.4623799077
63	0.4608339644
64	0.4597178779
65	0.4589596666
66	0.457996456
67	0.456862828
68	0.4563172524
69	0.4555623863
70	0.4543619833
71	0.4535462652
72	0.4525038512
73	0.451894058
74	0.4509190905
75	0.4501647816
76	0.4493328348
77	0.4483184
78	0.4475618571
79	0.4467033367
80	0.4460303743
81	0.4452665698
82	0.4445211329
83	0.4438530688
84	0.4429872904
85	0.4425018228
86	0.4417053567
87	0.441085299
88	0.4405950741
89	0.4400735011
90	0.4396643756
91	0.4390391249
92	0.4384970197
93	0.4378978899
94	0.4374450952
95	0.4369028865
96	0.4363365004
97	0.4357163826
98	0.4353594629
99	0.4346906144
100	0.4341730741
101	0.4337040642
102	0.4333727167
103	0.4329736569
104	0.4326747114
105	0.4322432259
106	0.4317657461
107	0.4310765601
108	0.4306386163
109	0.4298880172
110	0.4294520689
111	0.4290955791
112	0.4288089695
113	0.4278703936
114	0.4274289091
115	0.4269708079
116	0.4261065951
117	0.4256197574
118	0.4254546337
119	0.425096202
120	0.4246243394
121	0.424130675
122	0.4238798387
123	0.4235165767
124	0.4232815561
125	0.4227757025
126	0.4225047078
127	0.4221553748
128	0.4214238506
129	0.4210453886
130	0.420632979
131	0.4202524088
132	0.4199077348
133	0.4196288394
134	0.4192901348
135	0.4189654437
136	0.4187346095
137	0.4185932297
138	0.4183069988
139	0.4180539873
140	0.4179070119
141	0.4174586025
142	0.4171514654
143	0.4168045239
144	0.4165857318
145	0.4162480611
146	0.4159252714
147	0.4156817063
148	0.4153696951
149	0.4150851751
150	0.4147927012
151	0.4143541046
152	0.4138988167
153	0.4136459722
154	0.4133877748
155	0.4131064623
156	0.4125724358
157	0.4122876613
158	0.4117168723
159	0.4114349964
160	0.4111211162
161	0.410774315
162	0.4104282102
163	0.4101159249
164	0.409647158
165	0.4093653266
166	0.4091339225
167	0.4089867872
168	0.4085074171
169	0.4083911214
170	0.4081842007
171	0.4080166966
172	0.4078381693
173	0.4076127399
174	0.4074410667
175	0.407252591
176	0.4070319221
177	0.4068051479
178	0.4065305486
179	0.4063109416
180	0.4060734593
181	0.405894285
182	0.4056707695
183	0.4053806019
184	0.4051807407
185	0.404924738
186	0.4042577079
187	0.4038420673
188	0.403685063
189	0.4033835186
190	0.4031780321
191	0.4030000512
192	0.4028001464
193	0.4026398152
194	0.4024351226
195	0.4022943855
196	0.4021496523
197	0.4019761339
198	0.4016691303
199	0.4012427697
200	0.4010659068
201	0.4008907799
202	0.4006296876
203	0.4003821563
204	0.4002062022
205	0.3999932163
206	0.3997645837
207	0.3992687634
208	0.3991094098
209	0.3988667067
210	0.3987016999
211	0.3985844006
212	0.3984751858
213	0.3982447725
214	0.3980938631
215	0.397730057
216	0.3975659145
217	0.3974535455
218	0.3971022274
219	0.3969183497
220	0.3967464613
221	0.396559735
222	0.3963246151
223	0.3960779114
224	0.3958556737
225	0.3956385676
226	0.3954413477
227	0.3952593654
228	0.3951275376
229	0.3947089954
230	0.3945572246
231	0.3942475606
232	0.3941581356
233	0.3940737139
234	0.3939493638
235	0.3936965024
236	0.393494628
237	0.3933037607
238	0.3927983778
239	0.392683885
240	0.3924671384
241	0.39228779
242	0.3920996471
243	0.3920306044
244	0.3919354505
245	0.3917667684
246	0.3915779684
247	0.3913859717
248	0.3912939943
249	0.3910373132
250	0.39087688
251	0.3906789706
252	0.3904882941
253	0.390269896
254	0.3899421935
255	0.3897274575
256	0.3896012349
257	0.3895955972
258	0.3894710069
259	0.3893213641
260	0.3892109568
261	0.38904188
262	0.388921063
263	0.3887792456
264	0.3886623435
265	0.3885781595
266	0.3883999377
267	0.3882726918
268	0.3879790048
269	0.3878219792
270	0.3875350837
271	0.3873870728
272	0.3872679302
273	0.3871458268
274	0.3868794372
275	0.3867442801
276	0.3865738602
277	0.3863575444
278	0.38607865
279	0.3858933318
280	0.3857457559
281	0.3856398543
282	0.3855087902
283	0.3853369431
284	0.3852864419
285	0.3851429588
286	0.3850010319
287	0.3848226395
288	0.384722063
289	0.3846121872
290	0.3845551883
291	0.384444986
292	0.3842961691
293	0.384094481
294	0.3839579157
295	0.3838614052
296	0.383754651
297	0.3836580472
298	0.3834468943
299	0.3831420303
300	0.3830010081
301	0.3829183571
302	0.3828577779
303	0.3827550622
304	0.3825180146
305	0.3824184582
306	0.3823019938
307	0.3821925389
308	0.3820692593
309	0.3819487402
310	0.381675156
311	0.3814212356
312	0.3813070929
313	0.3811945987
314	0.3810605818
315	0.3809339239
316	0.3808220313
317	0.3806297314
318	0.3805033576
319	0.3803797117
320	0.3801980897
321	0.3800227955
322	0.3799015196
323	0.3795008353
324	0.3793256004
325	0.3791708442
326	0.3790884705
327	0.3789182638
328	0.3787911758
329	0.3786034035
330	0.3783705153
331	0.3782208696
332	0.3781391062
333	0.3780601911
334	0.3778555226
335	0.3777329227
336	0.3776350628
337	0.3775662596
338	0.3774211968
339	0.3773342383
340	0.3772358705
341	0.3769747484
342	0.3768524194
343	0.3768082789
344	0.3766829868
345	0.3764672127
346	0.3763117346
347	0.3761750406
348	0.3760663425
349	0.3759560604
350	0.3758022281
351	0.3757189628
352	0.3755585092
353	0.3754401776
354	0.375314491
355	0.3752134945
356	0.3750651466
357	0.3749305507
358	0.3748015966
359	0.3745545087
360	0.374422244
361	0.3743486461
362	0.374251716
363	0.3741224537
364	0.3739420541
365	0.3738326947
366	0.3737410958
367	0.373640006
368	0.3735446429
369	0.3733942938
370	0.3732908405
371	0.3730528129
372	0.3729646265
373	0.3729094984
374	0.3727811766
375	0.3726553659
376	0.3725220923
377	0.3723968451
378	0.3722012444
379	0.372080401
380	0.3719787083
381	0.371895245
382	0.371577632
383	0.3714524297
384	0.3713292348
385	0.3712527467
386	0.3711344947
387	0.3710462708
388	0.3708938071
389	0.3707811611
390	0.3705712598
391	0.370460742
392	0.3702735761
393	0.370142135
394	0.3699264681
395	0.3698435641
396	0.369726947
397	0.3695823398
398	0.3694196993
399	0.369266767
400	0.3691895419
401	0.3691203155
402	0.3689240346
403	0.3688124314
404	0.3687383521
405	0.3685805736
406	0.3684884205
407	0.368393115
408	0.3682525398
409	0.3681288639
410	0.36801881
411	0.3678796234
412	0.3676862956
413	0.3674970072
414	0.3673158168
415	0.3672287414
416	0.3670815287
417	0.3669337791
418	0.3668127629
419	0.3666871642
420	0.3665309757
421	0.3664074967
422	0.3660993818
423	0.3659760647
424	0.3658516734
425	0.3657276401
426	0.365622862
427	0.3654760506
428	0.3653413121
429	0.365262126
430	0.3651779378
431	0.365094793
432	0.3649567234
433	0.3648743405
434	0.3647135032
435	0.3645666805
436	0.3644464533
437	0.3642349177
438	0.3641703168
439	0.3640200586
440	0.3639238034
441	0.3638299348
442	0.3636790674
443	0.3635750814
444	0.3634345624
445	0.3633519017
446	0.3631917721
447	0.3631138031
448	0.362956315
449	0.3628720305
450	0.3626371017
451	0.3625406967
452	0.3624264267
453	0.3623439329
454	0.3622559081
455	0.3621058334
456	0.3620157455
457	0.3618817245
458	0.3617417875
459	0.3616288742
460	0.3615068818
461	0.3614256876
462	0.3613271724
463	0.3612278963
464	0.3611319637
465	0.3610487312
466	0.3609569341
467	0.3608129555
468	0.3606498608
469	0.3605449476
470	0.3604377311
471	0.3603085097
472	0.360181612
