iter	Passed	Remaining
0	7	7297
1	15	7577
2	22	7582
3	30	7590
4	35	7054
5	41	6899
6	46	6656
7	51	6425
8	56	6268
9	62	6184
10	66	6000
11	70	5822
12	74	5632
13	77	5490
14	81	5335
15	84	5194
16	87	5045
17	90	4914
18	92	4790
19	95	4658
20	97	4558
21	101	4514
22	105	4478
23	108	4406
24	110	4319
25	113	4251
26	116	4202
27	119	4143
28	121	4082
29	124	4026
30	127	3979
31	129	3930
32	132	3889
33	135	3860
34	138	3828
35	142	3814
36	145	3780
37	148	3754
38	151	3731
39	154	3700
40	157	3674
41	159	3643
42	162	3618
43	165	3595
44	168	3571
45	170	3545
46	173	3527
47	176	3505
48	179	3492
49	182	3474
50	185	3454
51	188	3435
52	191	3416
53	193	3397
54	197	3386
55	200	3382
56	203	3369
57	206	3353
58	209	3334
59	211	3315
60	215	3311
61	217	3296
62	220	3285
63	224	3281
64	227	3277
65	231	3272
66	234	3271
67	238	3268
68	241	3263
69	245	3256
70	247	3242
71	250	3228
72	254	3229
73	257	3226
74	261	3229
75	264	3220
76	267	3210
77	271	3206
78	274	3195
79	277	3190
80	280	3181
81	283	3172
82	286	3164
83	289	3153
84	292	3148
85	295	3139
86	298	3128
87	301	3128
88	304	3119
89	307	3112
90	310	3103
91	313	3092
92	316	3086
93	319	3079
94	322	3070
95	325	3065
96	328	3060
97	332	3059
98	336	3060
99	339	3053
100	342	3049
101	345	3040
102	348	3035
103	351	3027
104	354	3019
105	357	3017
106	360	3010
107	363	3003
108	366	2997
109	369	2989
110	373	2992
111	377	2990
112	380	2984
113	383	2983
114	386	2977
115	390	2974
116	393	2969
117	397	2968
118	400	2965
119	403	2962
120	407	2959
121	410	2953
122	413	2950
123	416	2945
124	419	2938
125	423	2935
126	425	2927
127	429	2923
128	432	2920
129	435	2914
130	438	2908
131	441	2901
132	444	2898
133	447	2891
134	450	2884
135	453	2879
136	456	2872
137	458	2866
138	461	2860
139	464	2853
140	467	2848
141	470	2840
142	473	2834
143	476	2829
144	478	2823
145	481	2816
146	485	2817
147	488	2812
148	491	2809
149	494	2804
150	498	2800
151	501	2799
152	504	2794
153	507	2788
154	510	2782
155	513	2775
156	515	2770
157	519	2767
158	522	2761
159	526	2762
160	529	2757
161	532	2752
162	535	2749
163	538	2746
164	541	2741
165	544	2735
166	547	2731
167	550	2725
168	553	2719
169	555	2710
170	557	2704
171	560	2698
172	564	2697
173	567	2693
174	570	2687
175	573	2683
176	576	2678
177	578	2673
178	582	2669
179	584	2664
180	588	2660
181	590	2655
182	593	2649
183	596	2645
184	599	2641
185	602	2636
186	606	2635
187	609	2631
188	612	2627
189	615	2624
190	618	2619
191	621	2616
192	624	2613
193	628	2609
194	631	2605
195	634	2602
196	637	2600
197	640	2595
198	644	2592
199	647	2589
200	650	2585
201	653	2582
202	656	2577
203	659	2571
204	661	2566
205	664	2562
206	667	2557
207	670	2551
208	672	2546
209	676	2543
210	680	2544
211	684	2544
212	687	2541
213	691	2538
214	694	2534
215	696	2528
216	699	2524
217	702	2519
218	704	2514
219	708	2510
220	711	2506
221	713	2500
222	717	2498
223	720	2494
224	723	2490
225	726	2487
226	729	2483
227	732	2479
228	735	2475
229	738	2473
230	742	2470
231	745	2466
232	748	2463
233	751	2459
234	753	2454
235	757	2452
236	760	2448
237	763	2444
238	766	2441
239	769	2436
240	772	2432
241	775	2429
242	778	2425
243	781	2421
244	784	2416
245	787	2413
246	791	2412
247	794	2407
248	797	2405
249	800	2401
250	803	2397
251	806	2393
252	809	2389
253	812	2387
254	815	2383
255	819	2380
256	822	2377
257	824	2370
258	827	2367
259	832	2369
260	835	2366
261	839	2363
262	842	2360
263	845	2357
264	848	2353
265	851	2349
266	854	2345
267	857	2341
268	860	2338
269	863	2334
270	866	2330
271	870	2328
272	873	2324
273	876	2322
274	879	2318
275	882	2315
276	885	2311
277	888	2307
278	891	2303
279	894	2300
280	897	2296
281	901	2294
282	904	2290
283	907	2287
284	911	2286
285	914	2282
286	917	2279
287	920	2275
288	923	2271
289	926	2267
290	928	2263
291	932	2260
292	935	2257
293	939	2255
294	942	2251
295	944	2246
296	947	2243
297	950	2239
298	953	2235
299	956	2232
300	959	2228
301	962	2224
302	965	2221
303	968	2217
304	971	2214
305	974	2211
306	977	2206
307	981	2205
308	984	2201
309	987	2198
310	990	2194
311	993	2191
312	996	2187
313	999	2183
314	1003	2181
315	1006	2178
316	1009	2174
317	1012	2171
318	1015	2168
319	1019	2165
